Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Vil,Sitar,Vilambit teental,44|3&,3,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|4,4,On,2,,,,N,1961.199226,1961.197609,8,3,0.063131,0.150868,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|4&,4,&,2,,,,N,1961.688857,1961.727468,8,4,0.202079,0.037043,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|5,5,On,2,,,,N,1962.201016,1962.199767,8,4.5,0.060967,0.157038,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|5&,5,&,2,,,,N,1962.693268,1962.696661,8,6,0.182177,0.115633,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|6,6,On,2,,,,N,1963.227242,1963.201041,8,6.5,0.160393,0.059861,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|6&,6,&,2,,,,N,1963.858337,,8,,0.22148,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|7,7,On,2,,,,N,1964.273917,1964.224664,8,6.5,0.077982,0.080567,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|7&,7,&,2,,,,N,1964.92431,,8,,0.308392,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|8,8,On,2,,,,N,1965.309717,1965.274554,8,6,0.159328,0.176183,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|8&,8,&,2,,,,N,1965.790498,1965.81076,8,6,0.186127,0.046608,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|9,9,On,2,,,,N,1966.269348,1966.2933,8.5,6.5,0.101418,0.17364,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|9&,9,&,2,,,,N,1966.82723,1966.813514,8.5,6.5,0.094729,0.227313,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|10,10,On,2,,,,N,1967.365766,1967.340698,8.5,6,0.265343,0.113457,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|10&,10,&,2,,,,N,1967.905801,1967.890702,8.5,5.5,0.152055,0.006337,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|11,11,On,2,,,,N,1968.400756,1968.419936,8,5,0.402045,0.102248,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|11&,11,&,2,,,,N,1968.951599,1968.925942,7.5,4,0.238792,0.010392,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|12,12,On,2,,,,N,1969.434127,1969.477539,8,4.5,0.034651,0.259972,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|12&,12,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|13,13,On,2,,,,N,1970.507185,1970.51773,7.5,3,0.294075,0.280498,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|13&,13,&,2,,,,N,1971.065737,1971.0374,8,3.5,0.172772,0.115488,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|14,14,On,2,,,,N,1971.547554,1971.54998,8,4,0.557609,0.138237,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|14&,14,&,2,,,,N,1972.035332,1972.07205,8.5,5,0.090914,0.014121,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|15,15,On,2,,,,N,1972.594647,1972.63913,8.5,5,0.426205,0.095105,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|15&,15,&,2,,,,N,1973.179457,1973.133269,8.5,6,0.213116,0.026607,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|16,16,On,2,,,,N,1973.699191,1973.679518,8.5,5.5,0.192095,0.35688,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|16&,16,&,2,,,,N,1974.155909,1974.204309,8,6,0.124388,0.123257,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|1,1,On,2,,,C,TS,1974.688592,1974.728015,9,5.5,0.535458,0.382098,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|1&,1,&,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|2,2,On,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|2&,2,&,2,,,,TS,1976.338937,,6,,0.201237,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|3,3,On,2,,,,TS,1976.858947,1976.830842,5.5,1.5,0.240895,0.06429,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|3&,3,&,2,,,,TS,,1977.304503,,2,,0.109636,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|4,4,On,2,,,,TS,1977.926889,1977.903668,6.5,4,0.283261,0.233581,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|4&,4,&,2,,,,TS,1978.435075,1978.447832,7.5,5,0.330249,0.098102,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|5,5,On,2,,,,TS,1978.965574,1978.948736,8,4.5,0.179615,0.370711,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|5&,5,&,2,,,,TS,1979.492009,,8.5,,0.151377,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|6,6,On,2,,,,TS,1980.008192,1979.98898,8.5,4.5,0.198621,0.315697,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|6&,6,&,2,,,,TS,1980.531803,,8.5,,0.164733,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|7,7,On,2,,,,TS,1981.055372,1981.045646,8,5.5,0.179385,0.31945,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|7&,7,&,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|8,8,On,2,,,,TS,1982.115037,,7.5,,0.167429,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|8&,8,&,2,,,,TS,1982.696857,,7,,0.045873,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|9,9,On,2,,,,TS,1983.19574,1983.188856,7,5,0.167656,0.441892,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|9&,9,&,2,,,,TS,1983.716249,,7,,0.052059,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|10,10,On,2,,,,TS,1984.286932,1984.259414,6.5,5.5,0.131455,0.129216,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|10&,10,&,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|11,11,On,2,,,,TS,1985.32623,1985.331373,7.5,6,0.081875,0.129995,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|11&,11,&,2,,,,TS,1985.836069,,7.5,,0.035583,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|12,12,On,2,,,,TS,1986.356829,,7.5,,0.167321,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|12&,12,&,2,,,,TS,1986.866605,,8,,0.075755,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|13,13,On,2,,,,TS,1987.371253,1987.351094,8,8,0.197075,0.329086,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|13&,13,&,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|14,14,On,2,,,,TS,1988.465798,1988.432509,8,6.5,0.089908,0.127282,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|14&,14,&,2,,,,TS,1988.957553,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|15,15,On,2,,,,TS,1989.540231,1989.530335,7.5,6,0.214843,0.270163,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|15&,15,&,2,,,,TS,1990.054507,,7,,0.04019,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|16,16,On,2,,,,TS,1990.596555,1990.578693,7,6.5,0.219613,0.017521,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,45|16&,16,&,2,,,,TS,1991.12174,,6,,0.082949,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|1,1,On,2,,,,TS,1991.654297,1991.631154,6.5,7,0.302949,0.383506,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|1&,1,&,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|2,2,On,2,,,,TS,1992.751549,1992.740359,7,7,0.146138,0.133302,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|2&,2,&,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|3,3,On,2,,,,TS,1993.828823,1993.82833,6.5,5.5,0.292961,0.18271,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|3&,3,&,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|4,4,On,2,,,,TS,1994.940029,1994.910213,5.5,5,0.103656,0.177098,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|4&,4,&,2,,,,TS,1995.495142,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|5,5,On,2,,,,TS,1995.971892,1995.971754,7,5,0.160616,0.247007,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|5&,5,&,2,,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|6,6,On,2,,,,TS,1997.030772,1997.041832,7,5.5,0.069857,0.130128,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|6&,6,&,2,,,,TS,1997.503154,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,46|7,7,On,2,,,,TS,1998.096715,1998.099616,4.5,6.5,0.12837,0.044435,Anupama Bhagwat,Gurdain Rayatt,2G
