X,LEar_x,LEar_y,LElbow_x,LElbow_y,LEye_x,LEye_y,LShoulder_x,LShoulder_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,Neck_x,Neck_y,Nose_x,Nose_y,REar_x,REar_y,RElbow_x,RElbow_y,REye_x,REye_y,RShoulder_x,RShoulder_y,RWrist_x,RWrist_y
1224,886.124,290.554,980.116,429.538,874.272,304.091,915.48,339.419,997.696,384.484,868.441,505.961,852.801,347.219,864.47,317.89,823.304,290.545,694.047,409.91,850.796,304.099,790.104,349.216,739.123,431.493
1225,886.13,290.539,980.132,429.535,874.27,304.083,915.478,339.433,997.693,384.441,868.383,505.955,852.808,347.223,864.479,317.878,823.307,290.543,694.052,409.92,852.606,304.099,791.917,349.212,740.976,431.493
1226,886.134,290.524,980.133,429.516,874.272,304.078,915.484,339.425,997.687,384.436,870.297,507.923,854.591,347.225,864.486,317.873,823.313,290.544,694.046,409.917,852.608,304.097,791.916,349.219,740.977,431.49
1227,886.134,290.529,980.127,429.514,874.271,304.079,915.491,339.419,997.699,384.44,868.382,507.915,854.594,347.218,864.484,317.876,823.308,290.557,694.05,409.91,850.798,304.099,791.915,349.209,739.125,431.481
1228,886.147,290.518,980.126,429.518,874.272,304.074,915.481,339.398,997.707,384.443,866.448,504.014,852.809,345.321,864.488,317.874,823.308,290.567,694.065,409.914,850.796,304.099,791.914,349.198,740.978,431.488
1229,887.971,290.496,980.141,429.531,874.275,304.066,915.48,339.413,997.71,384.457,866.457,502.042,854.6,345.325,864.498,317.874,823.306,292.383,694.068,409.912,850.796,304.109,791.931,349.205,739.108,431.477
1230,887.975,290.477,980.11,429.512,874.269,304.065,917.299,339.432,997.705,384.469,866.449,503.974,854.618,347.216,864.503,317.885,823.296,292.401,695.893,409.915,850.793,304.124,791.936,349.223,739.11,431.486
1231,887.953,290.423,981.986,429.534,874.263,304.061,917.329,339.434,997.68,384.49,868.382,505.973,854.651,347.237,866.366,317.887,823.299,292.373,695.905,409.908,852.613,304.144,791.947,349.263,739.112,431.489
1232,887.948,290.403,982.027,429.515,874.249,304.066,917.362,339.43,997.665,384.419,870.392,509.871,854.69,347.262,866.364,317.907,823.276,292.391,695.919,409.908,850.796,304.167,791.973,351.104,739.115,431.504
1233,886.145,290.435,982.073,429.508,874.239,304.069,917.304,337.567,997.701,382.592,870.375,505.958,854.676,347.249,864.501,319.726,823.26,292.423,695.929,408.016,850.78,304.178,791.984,351.122,740.975,431.517
1234,886.142,290.426,983.951,429.504,872.382,304.07,915.483,337.536,997.717,382.564,870.366,503.99,854.666,347.218,864.5,319.75,821.467,292.477,695.937,408.025,850.765,304.206,791.998,351.108,740.981,431.522
1235,886.128,290.419,982.091,429.502,872.376,304.068,915.478,337.527,997.726,382.57,870.375,503.996,854.661,345.339,864.5,319.752,821.465,292.47,695.936,408.015,850.763,304.213,791.992,351.113,739.117,431.503
1236,886.11,290.413,982.081,429.538,872.376,304.065,915.476,337.529,997.721,382.581,870.389,504.001,854.656,345.33,864.499,319.75,821.465,294.337,695.933,407.999,850.761,304.217,791.99,351.102,739.091,431.483
1237,886.093,290.419,982.077,429.521,872.368,304.081,915.459,337.525,997.718,382.546,870.361,505.942,854.649,345.322,864.493,319.756,821.468,292.48,695.929,407.995,850.762,304.228,791.981,351.098,739.104,431.474
1238,886.099,290.434,982.083,429.548,872.369,304.107,915.463,337.505,997.735,382.464,870.356,503.995,854.649,345.296,864.475,319.771,823.248,292.488,695.92,407.991,850.756,304.237,791.987,351.077,739.108,431.462
1239,886.121,290.412,982.033,429.535,872.363,304.131,915.493,337.526,997.714,382.507,868.362,496.155,854.665,345.302,864.437,319.783,823.264,292.439,695.901,407.993,850.735,304.232,792.001,349.262,739.125,431.457
1240,886.143,290.43,982.048,429.543,872.379,304.107,915.484,337.538,997.706,382.528,868.355,498.119,854.652,345.295,864.444,319.743,823.282,292.403,695.903,408.004,850.759,304.18,791.99,349.243,740.973,431.473
1241,886.09,290.448,982.034,429.546,872.368,304.077,915.459,339.393,997.706,382.562,870.315,502.054,854.64,345.321,864.443,317.902,823.286,292.381,695.919,407.982,850.762,304.143,791.982,349.256,739.1,431.497
1242,886.096,290.457,982.08,429.594,872.345,304.077,917.294,337.557,997.717,382.534,870.372,505.967,854.654,345.31,862.497,317.9,823.285,290.523,695.932,407.972,850.701,304.11,791.973,349.246,739.09,431.496
1243,886.107,290.473,982.018,429.549,872.322,304.097,915.485,337.537,997.735,382.521,868.422,502.033,854.637,345.281,860.581,317.909,823.298,290.523,695.926,406.073,850.683,304.121,791.955,349.229,739.078,431.48
1244,886.123,290.533,980.154,429.556,872.337,304.141,915.493,337.561,997.742,382.576,866.439,498.13,854.632,345.312,860.581,319.725,823.314,290.511,695.927,406.077,850.702,304.141,791.943,349.229,739.069,431.47
1245,887.997,292.389,981.988,429.572,872.371,304.181,915.462,337.561,997.678,382.579,868.325,496.189,854.635,345.302,862.499,319.773,823.338,290.556,695.92,407.973,850.757,304.184,791.973,349.232,739.094,431.482
1246,888.017,290.554,982.015,429.583,874.268,304.204,915.482,339.415,995.849,382.569,866.438,496.176,854.665,345.322,864.432,319.796,823.372,290.567,695.926,407.992,852.616,304.211,791.992,349.23,739.093,431.504
1247,888.048,290.565,982.025,429.604,876.196,304.207,915.452,337.567,995.854,382.536,866.435,494.226,854.645,345.296,864.504,319.793,823.402,292.375,695.935,407.994,852.67,304.219,791.99,349.229,739.103,431.511
1248,888.053,292.393,982.081,429.61,876.233,304.207,915.466,337.558,997.686,382.517,868.328,494.179,854.648,345.289,866.367,319.78,823.412,290.562,695.951,408.001,852.687,304.212,791.991,349.221,739.109,431.518
1249,888.06,292.373,982.072,429.594,876.253,304.195,915.424,337.56,997.682,382.556,866.425,492.229,854.629,345.285,866.391,319.775,823.415,292.374,695.934,407.996,852.701,304.212,791.997,349.208,739.103,431.515
1250,888.065,290.539,983.949,429.591,876.268,304.204,915.449,337.571,997.686,382.531,868.321,492.267,854.641,345.302,866.423,319.797,823.404,292.372,695.933,407.997,852.716,304.245,791.994,349.217,739.099,431.517
1251,888.068,290.53,982.07,429.567,878.154,304.221,915.46,337.563,997.68,382.542,868.372,494.182,854.653,345.292,866.423,319.819,823.403,290.558,695.938,407.984,852.712,306.034,792.002,349.213,739.099,431.521
1252,889.918,290.542,982.051,429.572,878.188,304.23,915.453,337.56,997.678,382.561,868.355,494.193,854.648,345.293,866.466,319.832,823.397,290.546,695.942,407.987,852.739,306.047,791.995,349.219,739.1,431.531
1253,889.924,290.547,982.052,429.593,878.195,304.226,915.434,337.554,997.656,382.566,868.335,494.195,854.631,345.294,868.286,319.839,823.378,290.557,695.95,407.974,852.746,306.048,791.988,349.231,739.066,431.535
1254,889.948,290.555,982.05,429.605,878.217,304.225,915.434,337.556,995.852,382.56,868.396,496.167,854.625,345.298,868.311,319.847,823.385,292.392,695.955,407.969,852.759,306.055,791.972,349.238,739.065,431.545
1255,889.944,292.375,982.026,429.587,878.222,304.225,915.422,337.562,995.839,382.503,868.407,496.183,854.62,345.306,868.316,319.842,823.395,292.379,695.954,407.983,852.766,306.052,791.974,349.243,739.065,431.552
1256,889.92,292.434,981.998,429.569,880.099,304.223,915.425,339.399,995.833,382.469,870.301,502.027,854.612,345.323,868.319,319.839,823.395,292.375,695.947,407.993,852.774,306.044,791.966,349.243,739.075,431.555
1257,889.919,290.559,981.991,429.588,878.193,304.219,915.443,339.449,995.829,382.517,866.405,494.241,854.62,347.226,868.28,319.825,823.4,290.544,695.947,407.985,852.744,306.035,791.97,349.237,739.095,431.566
1258,889.933,292.378,982.017,429.581,878.166,304.218,917.312,341.393,995.785,382.52,864.49,496.186,854.658,347.276,866.415,319.814,823.391,290.539,695.952,407.967,852.705,304.244,791.975,349.232,739.092,431.555
1259,889.92,292.421,982.065,429.57,876.266,304.201,917.326,341.387,995.785,382.537,866.44,498.112,854.661,347.277,866.393,319.791,823.398,290.54,695.971,406.055,852.702,304.209,791.971,349.238,739.114,431.561
1260,889.911,292.413,982.077,429.576,876.269,304.2,917.366,339.501,995.803,382.477,868.402,500.09,854.694,347.269,866.408,319.782,823.427,290.542,695.985,406.065,852.719,304.213,791.976,349.246,739.107,431.573
1261,888.065,292.398,982.069,429.603,878.152,304.195,917.352,339.438,995.822,382.494,868.369,496.184,854.682,347.224,866.418,319.778,823.448,290.548,695.985,406.07,852.731,304.208,791.973,349.229,739.104,431.567
1262,889.91,292.389,982.074,429.625,878.175,304.188,917.369,339.403,995.822,382.47,870.344,502.031,854.695,345.332,866.443,319.771,825.267,290.56,695.99,406.065,852.748,304.2,791.978,349.228,739.083,431.554
1263,889.913,292.402,982.075,429.626,878.176,304.194,917.319,337.564,995.829,382.438,870.293,498.112,854.673,345.314,866.44,319.772,825.285,290.552,695.974,406.057,852.75,304.195,791.973,349.227,739.099,431.567
1264,889.927,292.428,982.062,431.429,878.188,304.201,917.303,337.565,995.856,382.53,870.312,498.134,854.662,345.316,866.441,319.778,825.293,290.55,695.972,406.069,852.753,304.197,791.978,349.222,739.125,431.564
1265,889.927,292.417,982.038,429.615,878.198,304.194,915.481,337.555,995.855,382.559,868.418,498.117,854.653,345.287,866.449,319.768,825.293,290.539,695.984,406.005,852.759,304.191,791.975,349.208,741.007,431.582
1266,889.947,292.449,982.06,431.427,878.197,304.163,915.488,337.554,995.85,382.561,868.388,498.129,854.641,345.287,866.463,319.741,825.265,290.521,696.008,404.106,852.765,304.159,791.953,349.216,741.029,431.584
1267,889.953,292.405,982.043,431.429,878.167,304.126,917.327,339.396,995.817,384.443,868.37,498.134,854.664,345.299,866.454,317.902,823.448,290.514,696.018,406.005,852.748,304.122,791.967,349.222,741.044,431.592
1268,889.921,290.513,982.039,429.631,876.267,304.066,917.376,339.416,995.805,384.426,868.435,500.086,854.676,345.326,866.446,317.853,825.261,290.482,696.028,406.039,852.715,304.072,791.953,349.242,741.061,431.616
1269,889.929,290.518,980.164,429.6,876.245,304.043,917.419,339.423,995.807,384.456,870.351,505.952,854.693,345.328,866.424,317.826,823.419,290.519,696.018,406.07,852.699,302.239,791.947,349.248,741.063,431.612
1270,888.057,290.487,980.113,429.569,876.235,302.218,917.437,339.404,995.803,384.501,870.397,507.934,854.711,345.313,866.413,317.812,823.413,290.501,696.017,406.068,852.676,302.218,791.961,349.236,741.061,431.611
1271,888.009,290.467,980.124,429.598,876.2,302.179,917.401,339.402,995.806,384.535,870.347,507.914,854.692,345.299,866.392,315.939,823.391,290.477,696.014,406.03,852.649,302.189,791.955,349.213,741.06,431.592
1272,888,290.478,980.161,429.6,874.303,302.145,917.419,339.417,995.845,384.546,870.414,509.886,854.711,345.312,866.368,315.894,823.379,290.485,696.018,404.127,852.637,302.149,791.962,349.213,741.065,431.563
1273,887.98,290.449,980.145,429.627,874.285,300.274,917.437,339.443,995.845,386.416,870.438,509.871,854.732,345.321,866.368,315.868,823.382,290.468,696.012,406.013,852.635,302.125,791.982,349.202,741.022,431.531
1274,887.994,290.462,980.152,431.461,874.308,300.23,917.463,339.478,995.838,384.569,870.429,509.869,854.74,345.335,866.367,313.966,823.381,290.442,696,406.018,852.638,298.299,791.979,349.2,740.983,431.506
1275,888.037,290.428,980.1,431.489,876.207,298.31,917.474,339.47,997.673,384.583,870.375,511.859,854.746,347.226,866.377,313.924,823.393,290.406,695.994,404.122,852.641,298.256,791.99,349.236,741.044,431.511
1276,889.921,288.566,980.096,431.491,876.251,296.312,919.313,339.488,997.701,384.587,870.369,507.906,856.602,347.222,866.428,310.068,823.423,290.397,695.97,406.006,852.67,296.3,792.032,349.196,742.912,431.504
1277,889.988,288.512,980.11,431.481,878.209,292.486,917.462,339.449,997.721,384.533,868.417,503.989,854.78,345.298,868.301,308.131,825.293,290.42,695.962,404.097,852.735,294.383,792.044,349.162,742.956,431.501
1278,891.889,290.383,980.145,431.496,880.14,292.406,919.298,339.461,997.713,384.536,870.322,500.084,856.63,345.31,868.343,306.227,825.322,290.375,695.908,406.022,852.792,292.441,793.926,349.187,742.973,431.464
1279,891.91,290.377,981.987,431.491,882.071,290.552,919.344,341.382,997.722,384.528,870.304,498.147,856.669,345.327,868.41,306.181,827.235,288.571,695.942,404.096,854.641,292.392,793.916,347.288,743.017,431.486
1280,891.92,290.381,980.159,431.442,882.086,290.466,919.349,341.358,997.72,384.562,870.342,496.186,856.697,345.293,868.408,306.074,827.222,288.502,695.89,400.259,854.662,290.471,793.971,347.246,743.089,429.604
1281,891.894,288.462,981.986,431.443,882.117,288.578,919.351,339.453,997.73,384.561,870.405,507.913,856.667,345.272,868.456,304.198,825.36,288.439,695.916,398.237,854.671,290.396,793.948,347.281,743.097,429.497
1282,891.916,286.573,981.992,429.617,882.137,288.464,919.355,339.433,997.744,384.519,870.41,509.887,856.665,345.277,870.274,304.1,825.28,286.565,695.898,398.148,854.679,288.527,793.948,349.182,744.908,427.555
1283,891.909,286.524,980.132,429.582,882.145,288.406,919.371,339.418,997.751,384.516,872.358,513.816,856.647,345.278,870.294,304.049,823.45,286.563,695.896,398.148,854.688,288.455,792.078,349.215,744.957,425.661
1284,891.918,286.509,980.111,429.581,883.956,286.476,919.332,339.446,997.742,384.533,874.27,517.698,854.749,345.297,870.322,302.163,823.418,286.556,694.045,400.166,854.698,286.565,792.054,349.218,744.983,427.516
1285,893.869,284.589,980.127,429.615,883.97,282.587,917.389,339.438,997.73,384.512,872.356,515.754,854.663,347.218,870.377,296.361,823.353,286.563,694.054,407.972,854.724,284.583,791.989,351.119,745.029,429.441
1286,NA,NA,980.112,431.43,883.987,278.734,917.441,339.466,997.765,384.454,870.41,511.866,854.7,347.248,870.427,294.333,823.342,288.384,695.889,409.938,854.756,282.595,791.971,351.147,744.975,429.494
