"Frame","Time","Pitch","Smooth"
591,23.64,265.4665,2.610781768
592,23.68,265.4665,2.610815977
593,23.72,265.4675,2.610856255
594,23.76,265.4665,2.6108453
595,23.8,265.464,2.610820356
596,23.84,265.468,2.610859289
597,23.88,265.4705,2.610884234
598,23.92,265.4715,2.61089519
599,23.96,265.475,2.610931091
600,24,265.467,2.610838559
601,24.04,265.465,2.610816649
602,24.08,265.4635,2.610787999
603,24.12,265.4625,2.610772157
604,24.16,265.467,2.610838559
605,24.2,265.4655,2.61082457
606,24.24,265.469,2.610884907
607,24.28,265.467,2.610858109
608,24.32,265.466,2.610852041
609,24.36,265.462,2.61080822
610,24.4,264.5245,2.605109784
611,24.44,264.522,2.605084874
612,24.48,264.5255,2.605145071
613,24.52,264.523,2.605110421
614,24.56,264.523,2.605125031
615,24.6,264.5205,2.605100121
616,24.64,264.523,2.605139641
617,24.68,265.4645,2.620103566
618,24.72,265.4645,2.620118397
619,24.76,265.469,2.62017058
620,24.8,265.468,2.620144702
621,24.84,265.47,2.620161851
622,24.88,265.4695,2.620153856
623,24.92,265.467,2.620118823
624,24.96,264.5275,2.605176688
625,25,264.5265,2.605146269
626,25.04,264.5255,2.605120721
627,25.08,264.525,2.605122557
628,25.12,264.5235,2.605123195
629,25.16,264.526,2.605152975
630,25.2,264.522,2.605099484
631,25.24,264.522,2.605114093
632,25.28,264.5185,2.605097725
633,25.32,264.521,2.605132375
634,25.36,264.52,2.605106827
635,25.4,265.4615,2.620095145
636,25.44,265.4615,2.620109976
637,25.48,265.462,2.620182243
638,25.52,265.464,2.620248838
639,25.56,265.4675,2.620314703
640,25.6,265.4735,2.620415612
641,25.64,265.482,2.620536736
642,25.68,266.4235,2.635674073
643,25.72,266.436,2.635831159
644,25.76,266.442,2.635938306
645,25.8,266.451,2.636088998
646,25.84,266.457,2.636171049
647,25.88,266.468,2.636329025
648,25.92,267.395,2.651407026
649,25.96,267.3965,2.651441788
650,26,267.4045,2.651552396
651,26.04,267.4235,2.651848283
652,26.08,267.426,2.651955561
653,26.12,267.436,2.652124492
654,26.16,268.3595,2.667300386
655,26.2,268.364,2.667520008
656,26.24,268.3755,2.667700271
657,26.28,268.3915,2.667934436
658,26.32,268.409,2.668198698
659,26.36,268.4035,2.668320047
660,26.4,267.4785,2.662642851
661,26.44,267.485,2.662745269
662,26.48,267.5045,2.663062906
663,26.52,268.404,2.67804939
664,26.56,268.414,2.678216831
665,26.6,268.413,2.678168609
666,26.64,269.3375,2.683943493
667,26.68,269.338,2.683904507
668,26.72,269.337,2.683824564
669,26.76,269.3365,2.683726702
670,26.8,269.3565,2.683867519
671,26.84,268.4675,2.669003139
672,26.88,268.4625,2.668904617
673,26.92,268.443,2.668674474
674,26.96,268.4365,2.668525166
675,27,268.4175,2.668256711
676,27.04,268.424,2.668255635
677,27.08,269.3615,2.674014574
678,27.12,269.3425,2.673735265
679,27.16,269.3235,2.673450811
680,27.2,268.378,2.667503386
681,27.24,268.375,2.667469206
682,27.28,268.37,2.66740706
683,27.32,268.3655,2.667348023
684,27.36,268.3595,2.667305566
685,27.4,268.3575,2.66729314
686,27.44,268.36,2.667319031
687,27.48,268.3625,2.667344923
688,27.52,268.3635,2.667356315
689,27.56,268.3595,2.667326284
690,27.6,268.3625,2.667350102
691,27.64,268.362,2.667326277
692,27.68,268.3615,2.667297274
693,27.72,268.3605,2.667275523
694,27.76,268.3625,2.667303487
695,27.8,268.3625,2.667308666
696,27.84,268.3635,2.6673097
697,27.88,268.365,2.667324198
698,27.92,268.365,2.66730866
699,27.96,269.313,2.67320363
700,28,268.4105,2.658272659
701,28.04,268.383,2.657657268
702,28.08,267.4365,2.642185639
703,28.12,268.381,2.657583487
704,28.16,268.374,2.667442272
705,28.2,268.402,2.668269246
706,28.24,267.4695,2.662540403
707,28.28,267.455,2.662336613
708,28.32,267.444,2.662015157
709,28.36,268.3275,2.667054964
710,28.4,267.4005,2.651563393
711,28.44,266.466,2.636181102
712,28.48,268.36,2.657469142
713,28.52,268.364,2.667302447
714,28.56,268.39,2.66777483
715,28.6,268.4105,2.668337632
716,28.64,267.488,2.662753581
717,28.68,268.421,2.668657004
718,28.72,268.3925,2.677841126
719,28.76,268.412,2.678136127
720,28.8,268.417,2.678219849
721,28.84,269.364,2.684325054
722,28.88,269.381,2.68455249
723,28.92,269.409,2.684901436
724,28.96,269.4215,2.685048111
725,29,269.435,2.685201053
726,29.04,269.442,2.685313351
727,29.08,269.4425,2.68532702
728,29.12,269.4435,2.685322733
729,29.16,269.443,2.685319606
730,29.2,269.4405,2.685256535
731,29.24,269.4375,2.68521669
732,29.28,269.435,2.685174703
733,29.32,269.4375,2.685190339
734,29.36,270.384,2.691168376
735,29.4,270.396,2.691291036
736,29.44,270.3925,2.691216252
737,29.48,270.3875,2.691036902
738,29.52,270.393,2.690965545
739,29.56,271.3325,2.696798482
740,29.6,271.3445,2.696873525
741,29.64,271.3525,2.696912941
742,29.68,271.361,2.697008546
743,29.72,271.364,2.697032613
744,29.76,271.371,2.697161298
745,29.8,271.3625,2.697124059
746,29.84,271.347,2.696989975
747,29.88,270.382,2.690796303
748,29.92,270.3535,2.690528225
749,29.96,269.3945,2.684452573
750,30,269.3865,2.684418349
751,30.04,269.362,2.684212501
752,30.08,268.415,2.678191606
753,30.12,268.3845,2.677869783
754,30.16,268.3675,2.677674352
755,30.2,267.47,2.662822577
756,30.24,267.4715,2.662790553
757,30.28,267.475,2.66269861
758,30.32,267.479,2.662651127
759,30.36,267.488,2.662717406
760,30.4,268.429,2.668494104
761,30.44,269.3925,2.674493411
762,30.48,269.418,2.674740398
763,30.52,270.376,2.680747701
764,30.56,270.385,2.680683499
765,30.6,271.3395,2.686385954
766,30.64,272.2515,2.691770182
767,30.68,272.2585,2.691687534
768,30.72,272.2695,2.691703325
769,30.76,272.285,2.691794376
770,30.8,273.1945,2.697429573
771,30.84,273.1925,2.697374961
772,30.88,273.184,2.697274696
773,30.92,271.359,2.676442242
774,30.96,271.339,2.67623066
775,31,271.3235,2.676181504
776,31.04,270.3565,2.670166302
777,31.08,269.38,2.664190377
778,31.12,268.408,2.658200869
779,31.16,268.3685,2.667387381
780,31.2,268.3595,2.667347002
781,31.24,268.36,2.667277596
782,31.28,268.406,2.658224368
783,31.32,268.4365,2.65843329
784,31.36,269.3855,2.664296327
785,31.4,268.431,2.658358328
786,31.44,268.4115,2.658248103
787,31.48,268.409,2.658166071
788,31.52,268.4175,2.658223704
789,31.56,269.3645,2.664032939
790,31.6,269.367,2.664032964
791,31.64,269.3655,2.664018557
792,31.68,269.3585,2.663929059
793,31.72,268.4155,2.658088428
794,31.76,268.406,2.657993897
795,31.8,268.3965,2.657837926
796,31.84,268.391,2.657757875
797,31.88,268.3885,2.657839713
798,31.92,268.3905,2.657903271
799,31.96,268.404,2.658114695
800,32,268.4015,2.658124859
801,32.04,268.4025,2.658151524
802,32.08,268.4055,2.658190546
803,32.12,269.3065,2.673158048
804,32.16,268.373,2.66740498
805,32.2,268.373,2.66748268
806,32.24,268.3835,2.667713712
807,32.28,268.3925,2.667852549
808,32.32,268.4065,2.668043204
809,32.36,268.4115,2.668146845
810,32.4,268.4135,2.668242219
811,32.44,268.4195,2.668388388
812,32.48,268.4275,2.668500337
813,32.52,268.4415,2.668711828
814,32.56,268.4505,2.66884558
815,32.6,268.4525,2.668894325
816,32.64,269.3495,2.683823759
817,32.68,269.352,2.683881495
818,32.72,269.3625,2.684062945
819,32.76,269.3735,2.684221221
820,32.8,269.3925,2.684482198
821,32.84,269.3915,2.684502278
822,32.88,269.394,2.684544244
823,32.92,269.398,2.684611392
824,32.96,269.401,2.684661756
825,33,269.3955,2.684606293
826,33.04,269.4,2.684676572
827,33.08,269.405,2.684749981
828,33.12,269.405,2.684776321
829,33.16,269.404,2.684770067
830,33.2,269.4045,2.684804803
831,33.24,269.403,2.684821764
832,33.28,269.409,2.684975202
833,33.32,269.4095,2.685046831
834,33.36,268.478,2.679294201
835,33.4,269.3835,2.69467284
836,33.44,269.381,2.694753067
837,33.48,269.388,2.69496239
838,33.52,268.4835,2.689505231
839,33.56,269.4325,2.7058088
840,33.6,271.374,2.73943197
841,33.64,272.338,2.756758675
842,33.68,273.294,2.774152504
843,33.72,274.208,2.790851381
844,33.76,274.252,2.791700421
845,33.8,274.29,2.792399505
846,33.84,275.225,2.809476535
